state_fips,county_fips,county,state,naics_2017,naics_2017_label,year,establishments
05,023,Cleburne County,Arkansas,72,Accommodation and food services,2018,65
05,025,Cleveland County,Arkansas,72,Accommodation and food services,2018,3
05,027,Columbia County,Arkansas,72,Accommodation and food services,2018,47
05,029,Conway County,Arkansas,72,Accommodation and food services,2018,34
05,031,Craighead County,Arkansas,72,Accommodation and food services,2018,235
05,033,Crawford County,Arkansas,72,Accommodation and food services,2018,85
05,035,Crittenden County,Arkansas,72,Accommodation and food services,2018,97
05,037,Cross County,Arkansas,72,Accommodation and food services,2018,22
05,039,Dallas County,Arkansas,72,Accommodation and food services,2018,10
05,041,Desha County,Arkansas,72,Accommodation and food services,2018,29
05,043,Drew County,Arkansas,72,Accommodation and food services,2018,39
05,045,Faulkner County,Arkansas,72,Accommodation and food services,2018,227
05,047,Franklin County,Arkansas,72,Accommodation and food services,2018,33
05,049,Fulton County,Arkansas,72,Accommodation and food services,2018,14
05,051,Garland County,Arkansas,72,Accommodation and food services,2018,301
05,053,Grant County,Arkansas,72,Accommodation and food services,2018,17
05,055,Greene County,Arkansas,72,Accommodation and food services,2018,71
05,057,Hempstead County,Arkansas,72,Accommodation and food services,2018,38
05,059,Hot Spring County,Arkansas,72,Accommodation and food services,2018,43
05,061,Howard County,Arkansas,72,Accommodation and food services,2018,18
05,063,Independence County,Arkansas,72,Accommodation and food services,2018,73
05,065,Izard County,Arkansas,72,Accommodation and food services,2018,12
05,067,Jackson County,Arkansas,72,Accommodation and food services,2018,22
05,069,Jefferson County,Arkansas,72,Accommodation and food services,2018,121
05,071,Johnson County,Arkansas,72,Accommodation and food services,2018,39
05,073,Lafayette County,Arkansas,72,Accommodation and food services,2018,5
05,075,Lawrence County,Arkansas,72,Accommodation and food services,2018,26
05,077,Lee County,Arkansas,72,Accommodation and food services,2018,4
05,079,Lincoln County,Arkansas,72,Accommodation and food services,2018,14
05,081,Little River County,Arkansas,72,Accommodation and food services,2018,14
05,083,Logan County,Arkansas,72,Accommodation and food services,2018,32
05,085,Lonoke County,Arkansas,72,Accommodation and food services,2018,93
05,087,Madison County,Arkansas,72,Accommodation and food services,2018,18
05,089,Marion County,Arkansas,72,Accommodation and food services,2018,33
05,091,Miller County,Arkansas,72,Accommodation and food services,2018,69
05,093,Mississippi County,Arkansas,72,Accommodation and food services,2018,78
05,095,Monroe County,Arkansas,72,Accommodation and food services,2018,22
05,097,Montgomery County,Arkansas,72,Accommodation and food services,2018,15
05,099,Nevada County,Arkansas,72,Accommodation and food services,2018,9
05,101,Newton County,Arkansas,72,Accommodation and food services,2018,15
05,103,Ouachita County,Arkansas,72,Accommodation and food services,2018,31
05,105,Perry County,Arkansas,72,Accommodation and food services,2018,8
05,107,Phillips County,Arkansas,72,Accommodation and food services,2018,30
05,109,Pike County,Arkansas,72,Accommodation and food services,2018,22
05,111,Poinsett County,Arkansas,72,Accommodation and food services,2018,42
05,113,Polk County,Arkansas,72,Accommodation and food services,2018,36
05,115,Pope County,Arkansas,72,Accommodation and food services,2018,137
05,117,Prairie County,Arkansas,72,Accommodation and food services,2018,12
05,119,Pulaski County,Arkansas,72,Accommodation and food services,2018,1041
05,121,Randolph County,Arkansas,72,Accommodation and food services,2018,23
05,123,St. Francis County,Arkansas,72,Accommodation and food services,2018,37
05,125,Saline County,Arkansas,72,Accommodation and food services,2018,155
05,127,Scott County,Arkansas,72,Accommodation and food services,2018,15
05,129,Searcy County,Arkansas,72,Accommodation and food services,2018,13
05,131,Sebastian County,Arkansas,72,Accommodation and food services,2018,302
05,133,Sevier County,Arkansas,72,Accommodation and food services,2018,21
05,135,Sharp County,Arkansas,72,Accommodation and food services,2018,25
05,137,Stone County,Arkansas,72,Accommodation and food services,2018,24
05,139,Union County,Arkansas,72,Accommodation and food services,2018,82
05,141,Van Buren County,Arkansas,72,Accommodation and food services,2018,19
05,143,Washington County,Arkansas,72,Accommodation and food services,2018,589
05,145,White County,Arkansas,72,Accommodation and food services,2018,144
05,147,Woodruff County,Arkansas,72,Accommodation and food services,2018,8
05,149,Yell County,Arkansas,72,Accommodation and food services,2018,19
06,001,Alameda County,California,72,Accommodation and food services,2018,4305
06,003,Alpine County,California,72,Accommodation and food services,2018,8
06,005,Amador County,California,72,Accommodation and food services,2018,112
06,007,Butte County,California,72,Accommodation and food services,2018,472
06,009,Calaveras County,California,72,Accommodation and food services,2018,121
06,011,Colusa County,California,72,Accommodation and food services,2018,35
06,013,Contra Costa County,California,72,Accommodation and food services,2018,2133
06,015,Del Norte County,California,72,Accommodation and food services,2018,60
06,017,El Dorado County,California,72,Accommodation and food services,2018,500
06,019,Fresno County,California,72,Accommodation and food services,2018,1689
06,021,Glenn County,California,72,Accommodation and food services,2018,54
06,023,Humboldt County,California,72,Accommodation and food services,2018,390
06,025,Imperial County,California,72,Accommodation and food services,2018,284
06,027,Inyo County,California,72,Accommodation and food services,2018,93
06,029,Kern County,California,72,Accommodation and food services,2018,1487
06,031,Kings County,California,72,Accommodation and food services,2018,191
06,033,Lake County,California,72,Accommodation and food services,2018,129
06,035,Lassen County,California,72,Accommodation and food services,2018,45
06,037,Los Angeles County,California,72,Accommodation and food services,2018,24009
06,039,Madera County,California,72,Accommodation and food services,2018,209
06,041,Marin County,California,72,Accommodation and food services,2018,773
06,043,Mariposa County,California,72,Accommodation and food services,2018,41
06,045,Mendocino County,California,72,Accommodation and food services,2018,342
06,047,Merced County,California,72,Accommodation and food services,2018,351
06,049,Modoc County,California,72,Accommodation and food services,2018,19
06,051,Mono County,California,72,Accommodation and food services,2018,146
06,053,Monterey County,California,72,Accommodation and food services,2018,1071
06,055,Napa County,California,72,Accommodation and food services,2018,410
06,057,Nevada County,California,72,Accommodation and food services,2018,258
06,059,Orange County,California,72,Accommodation and food services,2018,8460
06,061,Placer County,California,72,Accommodation and food services,2018,977
06,063,Plumas County,California,72,Accommodation and food services,2018,106
06,065,Riverside County,California,72,Accommodation and food services,2018,4083
06,067,Sacramento County,California,72,Accommodation and food services,2018,3042
06,069,San Benito County,California,72,Accommodation and food services,2018,96
06,071,San Bernardino County,California,72,Accommodation and food services,2018,3760
06,073,San Diego County,California,72,Accommodation and food services,2018,7940
06,075,San Francisco County,California,72,Accommodation and food services,2018,4547
06,077,San Joaquin County,California,72,Accommodation and food services,2018,1208
06,079,San Luis Obispo County,California,72,Accommodation and food services,2018,993
06,081,San Mateo County,California,72,Accommodation and food services,2018,2213
06,083,Santa Barbara County,California,72,Accommodation and food services,2018,1235
06,085,Santa Clara County,California,72,Accommodation and food services,2018,5169
06,087,Santa Cruz County,California,72,Accommodation and food services,2018,690
06,089,Shasta County,California,72,Accommodation and food services,2018,390
06,091,Sierra County,California,72,Accommodation and food services,2018,18
06,093,Siskiyou County,California,72,Accommodation and food services,2018,147
06,095,Solano County,California,72,Accommodation and food services,2018,795
06,097,Sonoma County,California,72,Accommodation and food services,2018,1320
06,099,Stanislaus County,California,72,Accommodation and food services,2018,938
06,101,Sutter County,California,72,Accommodation and food services,2018,164
06,103,Tehama County,California,72,Accommodation and food services,2018,114
06,105,Trinity County,California,72,Accommodation and food services,2018,44
06,107,Tulare County,California,72,Accommodation and food services,2018,665
06,109,Tuolumne County,California,72,Accommodation and food services,2018,168
06,111,Ventura County,California,72,Accommodation and food services,2018,1704
06,113,Yolo County,California,72,Accommodation and food services,2018,432
06,115,Yuba County,California,72,Accommodation and food services,2018,89
08,001,Adams County,Colorado,72,Accommodation and food services,2018,807
08,003,Alamosa County,Colorado,72,Accommodation and food services,2018,53
08,005,Arapahoe County,Colorado,72,Accommodation and food services,2018,1423
08,007,Archuleta County,Colorado,72,Accommodation and food services,2018,55
08,009,Baca County,Colorado,72,Accommodation and food services,2018,6
08,011,Bent County,Colorado,72,Accommodation and food services,2018,6
08,013,Boulder County,Colorado,72,Accommodation and food services,2018,963
08,014,Broomfield County,Colorado,72,Accommodation and food services,2018,187
08,015,Chaffee County,Colorado,72,Accommodation and food services,2018,122
08,017,Cheyenne County,Colorado,72,Accommodation and food services,2018,3
08,019,Clear Creek County,Colorado,72,Accommodation and food services,2018,48
08,021,Conejos County,Colorado,72,Accommodation and food services,2018,13
08,023,Costilla County,Colorado,72,Accommodation and food services,2018,7
08,027,Custer County,Colorado,72,Accommodation and food services,2018,15
08,029,Delta County,Colorado,72,Accommodation and food services,2018,83
08,031,Denver County,Colorado,72,Accommodation and food services,2018,2364
08,033,Dolores County,Colorado,72,Accommodation and food services,2018,7
08,035,Douglas County,Colorado,72,Accommodation and food services,2018,584
08,037,Eagle County,Colorado,72,Accommodation and food services,2018,309
08,039,Elbert County,Colorado,72,Accommodation and food services,2018,28
08,041,El Paso County,Colorado,72,Accommodation and food services,2018,1413
08,043,Fremont County,Colorado,72,Accommodation and food services,2018,87
08,045,Garfield County,Colorado,72,Accommodation and food services,2018,229
08,047,Gilpin County,Colorado,72,Accommodation and food services,2018,13
08,049,Grand County,Colorado,72,Accommodation and food services,2018,144
08,051,Gunnison County,Colorado,72,Accommodation and food services,2018,136
08,053,Hinsdale County,Colorado,72,Accommodation and food services,2018,16
08,055,Huerfano County,Colorado,72,Accommodation and food services,2018,22
08,057,Jackson County,Colorado,72,Accommodation and food services,2018,10
08,059,Jefferson County,Colorado,72,Accommodation and food services,2018,1254
08,061,Kiowa County,Colorado,72,Accommodation and food services,2018,3
08,063,Kit Carson County,Colorado,72,Accommodation and food services,2018,24
08,065,Lake County,Colorado,72,Accommodation and food services,2018,35
08,067,La Plata County,Colorado,72,Accommodation and food services,2018,227
08,069,Larimer County,Colorado,72,Accommodation and food services,2018,967
08,071,Las Animas County,Colorado,72,Accommodation and food services,2018,45
08,073,Lincoln County,Colorado,72,Accommodation and food services,2018,25
08,075,Logan County,Colorado,72,Accommodation and food services,2018,47
08,077,Mesa County,Colorado,72,Accommodation and food services,2018,330
08,079,Mineral County,Colorado,72,Accommodation and food services,2018,17
08,081,Moffat County,Colorado,72,Accommodation and food services,2018,32
08,083,Montezuma County,Colorado,72,Accommodation and food services,2018,90
08,085,Montrose County,Colorado,72,Accommodation and food services,2018,89
08,087,Morgan County,Colorado,72,Accommodation and food services,2018,64
08,089,Otero County,Colorado,72,Accommodation and food services,2018,50
08,091,Ouray County,Colorado,72,Accommodation and food services,2018,57
08,093,Park County,Colorado,72,Accommodation and food services,2018,46
08,095,Phillips County,Colorado,72,Accommodation and food services,2018,14
08,097,Pitkin County,Colorado,72,Accommodation and food services,2018,176
08,099,Prowers County,Colorado,72,Accommodation and food services,2018,34
08,101,Pueblo County,Colorado,72,Accommodation and food services,2018,332
08,103,Rio Blanco County,Colorado,72,Accommodation and food services,2018,23
08,105,Rio Grande County,Colorado,72,Accommodation and food services,2018,48
08,107,Routt County,Colorado,72,Accommodation and food services,2018,166
08,109,Saguache County,Colorado,72,Accommodation and food services,2018,9
08,111,San Juan County,Colorado,72,Accommodation and food services,2018,21
08,113,San Miguel County,Colorado,72,Accommodation and food services,2018,79
08,115,Sedgwick County,Colorado,72,Accommodation and food services,2018,6
08,117,Summit County,Colorado,72,Accommodation and food services,2018,270
08,119,Teller County,Colorado,72,Accommodation and food services,2018,67
08,121,Washington County,Colorado,72,Accommodation and food services,2018,3
08,123,Weld County,Colorado,72,Accommodation and food services,2018,476
08,125,Yuma County,Colorado,72,Accommodation and food services,2018,28
09,001,Fairfield County,Connecticut,72,Accommodation and food services,2018,2479
09,003,Hartford County,Connecticut,72,Accommodation and food services,2018,2154
09,005,Litchfield County,Connecticut,72,Accommodation and food services,2018,444
09,007,Middlesex County,Connecticut,72,Accommodation and food services,2018,447
09,009,New Haven County,Connecticut,72,Accommodation and food services,2018,2082
09,011,New London County,Connecticut,72,Accommodation and food services,2018,739
09,013,Tolland County,Connecticut,72,Accommodation and food services,2018,239
09,015,Windham County,Connecticut,72,Accommodation and food services,2018,254
10,001,Kent County,Delaware,72,Accommodation and food services,2018,309
10,003,New Castle County,Delaware,72,Accommodation and food services,2018,1274
10,005,Sussex County,Delaware,72,Accommodation and food services,2018,657
11,001,District of Columbia,District of Columbia,72,Accommodation and food services,2018,2754
12,001,Alachua County,Florida,72,Accommodation and food services,2018,592
12,003,Baker County,Florida,72,Accommodation and food services,2018,36
12,005,Bay County,Florida,72,Accommodation and food services,2018,527
12,007,Bradford County,Florida,72,Accommodation and food services,2018,42
12,009,Brevard County,Florida,72,Accommodation and food services,2018,1206
12,011,Broward County,Florida,72,Accommodation and food services,2018,4204
12,013,Calhoun County,Florida,72,Accommodation and food services,2018,16
12,015,Charlotte County,Florida,72,Accommodation and food services,2018,304
12,017,Citrus County,Florida,72,Accommodation and food services,2018,225
12,019,Clay County,Florida,72,Accommodation and food services,2018,303
12,021,Collier County,Florida,72,Accommodation and food services,2018,880
12,023,Columbia County,Florida,72,Accommodation and food services,2018,128
12,027,DeSoto County,Florida,72,Accommodation and food services,2018,39
12,029,Dixie County,Florida,72,Accommodation and food services,2018,19
12,031,Duval County,Florida,72,Accommodation and food services,2018,2187
12,033,Escambia County,Florida,72,Accommodation and food services,2018,595
12,035,Flagler County,Florida,72,Accommodation and food services,2018,182
12,037,Franklin County,Florida,72,Accommodation and food services,2018,48
12,039,Gadsden County,Florida,72,Accommodation and food services,2018,57
12,041,Gilchrist County,Florida,72,Accommodation and food services,2018,20
12,043,Glades County,Florida,72,Accommodation and food services,2018,10
12,045,Gulf County,Florida,72,Accommodation and food services,2018,34
12,047,Hamilton County,Florida,72,Accommodation and food services,2018,14
12,049,Hardee County,Florida,72,Accommodation and food services,2018,32
12,051,Hendry County,Florida,72,Accommodation and food services,2018,64
12,053,Hernando County,Florida,72,Accommodation and food services,2018,283
12,055,Highlands County,Florida,72,Accommodation and food services,2018,141
12,057,Hillsborough County,Florida,72,Accommodation and food services,2018,2535
12,059,Holmes County,Florida,72,Accommodation and food services,2018,20
12,061,Indian River County,Florida,72,Accommodation and food services,2018,282
12,063,Jackson County,Florida,72,Accommodation and food services,2018,81
12,065,Jefferson County,Florida,72,Accommodation and food services,2018,20
12,067,Lafayette County,Florida,72,Accommodation and food services,2018,6
12,069,Lake County,Florida,72,Accommodation and food services,2018,563
12,071,Lee County,Florida,72,Accommodation and food services,2018,1461
12,073,Leon County,Florida,72,Accommodation and food services,2018,746
12,075,Levy County,Florida,72,Accommodation and food services,2018,61
12,077,Liberty County,Florida,72,Accommodation and food services,2018,4
12,079,Madison County,Florida,72,Accommodation and food services,2018,26
12,081,Manatee County,Florida,72,Accommodation and food services,2018,664
12,083,Marion County,Florida,72,Accommodation and food services,2018,516
12,085,Martin County,Florida,72,Accommodation and food services,2018,408
12,086,Miami-Dade County,Florida,72,Accommodation and food services,2018,5826
12,087,Monroe County,Florida,72,Accommodation and food services,2018,540
12,089,Nassau County,Florida,72,Accommodation and food services,2018,174
12,091,Okaloosa County,Florida,72,Accommodation and food services,2018,539
12,093,Okeechobee County,Florida,72,Accommodation and food services,2018,60
12,095,Orange County,Florida,72,Accommodation and food services,2018,3396
12,097,Osceola County,Florida,72,Accommodation and food services,2018,724
12,099,Palm Beach County,Florida,72,Accommodation and food services,2018,3086
12,101,Pasco County,Florida,72,Accommodation and food services,2018,707
12,103,Pinellas County,Florida,72,Accommodation and food services,2018,2360
12,105,Polk County,Florida,72,Accommodation and food services,2018,907
12,107,Putnam County,Florida,72,Accommodation and food services,2018,94
12,109,St. Johns County,Florida,72,Accommodation and food services,2018,650
12,111,St. Lucie County,Florida,72,Accommodation and food services,2018,460
12,113,Santa Rosa County,Florida,72,Accommodation and food services,2018,224
12,115,Sarasota County,Florida,72,Accommodation and food services,2018,972
12,117,Seminole County,Florida,72,Accommodation and food services,2018,900
12,119,Sumter County,Florida,72,Accommodation and food services,2018,139
12,121,Suwannee County,Florida,72,Accommodation and food services,2018,56
12,123,Taylor County,Florida,72,Accommodation and food services,2018,39
12,125,Union County,Florida,72,Accommodation and food services,2018,5
12,127,Volusia County,Florida,72,Accommodation and food services,2018,1195
12,129,Wakulla County,Florida,72,Accommodation and food services,2018,41
12,131,Walton County,Florida,72,Accommodation and food services,2018,235
12,133,Washington County,Florida,72,Accommodation and food services,2018,39
13,001,Appling County,Georgia,72,Accommodation and food services,2018,33
13,003,Atkinson County,Georgia,72,Accommodation and food services,2018,9
13,005,Bacon County,Georgia,72,Accommodation and food services,2018,17
13,009,Baldwin County,Georgia,72,Accommodation and food services,2018,107
13,011,Banks County,Georgia,72,Accommodation and food services,2018,47
13,013,Barrow County,Georgia,72,Accommodation and food services,2018,102
13,015,Bartow County,Georgia,72,Accommodation and food services,2018,202
13,017,Ben Hill County,Georgia,72,Accommodation and food services,2018,27
13,019,Berrien County,Georgia,72,Accommodation and food services,2018,20
13,021,Bibb County,Georgia,72,Accommodation and food services,2018,450
13,023,Bleckley County,Georgia,72,Accommodation and food services,2018,14
13,025,Brantley County,Georgia,72,Accommodation and food services,2018,12
13,027,Brooks County,Georgia,72,Accommodation and food services,2018,15
13,029,Bryan County,Georgia,72,Accommodation and food services,2018,86
13,031,Bulloch County,Georgia,72,Accommodation and food services,2018,150
13,033,Burke County,Georgia,72,Accommodation and food services,2018,30
13,035,Butts County,Georgia,72,Accommodation and food services,2018,40
13,037,Calhoun County,Georgia,72,Accommodation and food services,2018,4
13,039,Camden County,Georgia,72,Accommodation and food services,2018,119
13,043,Candler County,Georgia,72,Accommodation and food services,2018,18
13,045,Carroll County,Georgia,72,Accommodation and food services,2018,215
13,047,Catoosa County,Georgia,72,Accommodation and food services,2018,101
13,049,Charlton County,Georgia,72,Accommodation and food services,2018,14
13,051,Chatham County,Georgia,72,Accommodation and food services,2018,1009
13,053,Chattahoochee County,Georgia,72,Accommodation and food services,2018,5
13,055,Chattooga County,Georgia,72,Accommodation and food services,2018,30
13,057,Cherokee County,Georgia,72,Accommodation and food services,2018,390
13,059,Clarke County,Georgia,72,Accommodation and food services,2018,367
13,063,Clayton County,Georgia,72,Accommodation and food services,2018,403
13,065,Clinch County,Georgia,72,Accommodation and food services,2018,13
13,067,Cobb County,Georgia,72,Accommodation and food services,2018,1685
13,069,Coffee County,Georgia,72,Accommodation and food services,2018,66
13,071,Colquitt County,Georgia,72,Accommodation and food services,2018,68
13,073,Columbia County,Georgia,72,Accommodation and food services,2018,239
13,075,Cook County,Georgia,72,Accommodation and food services,2018,35
13,077,Coweta County,Georgia,72,Accommodation and food services,2018,200
13,079,Crawford County,Georgia,72,Accommodation and food services,2018,7
13,081,Crisp County,Georgia,72,Accommodation and food services,2018,56
13,083,Dade County,Georgia,72,Accommodation and food services,2018,22
13,085,Dawson County,Georgia,72,Accommodation and food services,2018,63
13,087,Decatur County,Georgia,72,Accommodation and food services,2018,46
13,089,DeKalb County,Georgia,72,Accommodation and food services,2018,1597
13,091,Dodge County,Georgia,72,Accommodation and food services,2018,23
13,093,Dooly County,Georgia,72,Accommodation and food services,2018,15
13,095,Dougherty County,Georgia,72,Accommodation and food services,2018,218
13,097,Douglas County,Georgia,72,Accommodation and food services,2018,248
13,099,Early County,Georgia,72,Accommodation and food services,2018,21
13,103,Effingham County,Georgia,72,Accommodation and food services,2018,59
13,105,Elbert County,Georgia,72,Accommodation and food services,2018,25
13,107,Emanuel County,Georgia,72,Accommodation and food services,2018,35
13,109,Evans County,Georgia,72,Accommodation and food services,2018,12
13,111,Fannin County,Georgia,72,Accommodation and food services,2018,61
13,113,Fayette County,Georgia,72,Accommodation and food services,2018,268
13,115,Floyd County,Georgia,72,Accommodation and food services,2018,203
13,117,Forsyth County,Georgia,72,Accommodation and food services,2018,355
13,119,Franklin County,Georgia,72,Accommodation and food services,2018,49
13,121,Fulton County,Georgia,72,Accommodation and food services,2018,3439
13,123,Gilmer County,Georgia,72,Accommodation and food services,2018,68
13,125,Glascock County,Georgia,72,Accommodation and food services,2018,3
13,127,Glynn County,Georgia,72,Accommodation and food services,2018,290
13,129,Gordon County,Georgia,72,Accommodation and food services,2018,93
13,131,Grady County,Georgia,72,Accommodation and food services,2018,27
