STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,TOTSTAFF,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,TOTPRO,GPTERMS,PITUSR,WIFISESS,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE
AK,AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,PR WALES-OUTER KE,9078263281,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,1102,1092,1,0,0,1.6,11441,13694,300,8440,3902,0,0,70,1636,20254,2392,2437,25302,7477,136,4,4069,2563,08,00,00,00,-133.148393,55.474758
AK,AK0018,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,NORTHWEST ARCTIC,9073632136,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,135,134,1,0,0,0.29,-1,-1,425,-1,344,-1,-1,2,1297,276,328,33,-1,33,10,0,0,-1,08,00,00,00,-163.490055,65.822284
AK,AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,SE FAIRBANK,9078954102,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,1130,1120,1,0,0,2.8,11638,13694,692,8657,4050,0,1,10,2496,49601,1200,6245,56460,8269,144,7,8553,22500,08,00,00,00,-145.734637,64.04679
AK,AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,DILLINGHAM,9078425610,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,2316,2295,1,0,0,1.7,25752,13694,1044,8657,5605,0,0,34,1968,35184,2433,1961,36704,335,314,10,8697,8858,08,00,00,00,-158.463822,59.040686
AK,AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,SE FAIRBANK,9075472334,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,79,78,1,0,0,0.88,8977,13694,732,8657,3619,0,0,42,713,2432,70,287,36074,12,24,7,1731,986,08,00,00,00,-141.202641,64.787109
AK,AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,FAIRBANKS NORTH STAR,9074591022,NO,CO,MO,Y,CO1,N,7/1/15,6/30/16,98645,97755,1,1,1,47.6,313538,22497,24599,17171,37846,0,21,610,7176,456170,75480,50925,671764,246490,908,43,53224,192142,08,00,00,00,-147.738638,64.838451
AK,AK0025,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,YUKON-KOYUKUK,9076561883,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,488,484,1,0,0,0.38,9542,0,0,0,638,0,0,43,750,3101,125,551,5901,2087,238,2,493,0,08,00,00,00,-156.88152,64.749499
AK,AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,VALDEZ-CORDOVA,9078225427,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,459,455,1,0,0,0,19391,13694,763,0,2987,0,0,12,1556,8996,3328,670,12980,4495,97,6,10868,10868,08,00,00,00,-145.561269,62.10946
AK,AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,SKAGWAY-ANGOON,9076972350,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,558,553,1,0,0,1,14887,13694,251,8440,1828,0,0,21,1300,10716,300,781,12640,3122,275,5,1910,2110,08,00,00,00,-135.72554,58.412632
AK,AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,HAINES,9077662545,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,2466,2444,1,0,0,5.84,33301,17451,2263,10114,5206,0,0,97,3120,90616,6235,2320,97670,28611,607,12,20819,26259,08,00,00,00,-135.447976,59.233451
AK,AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,DENALI,9076832507,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,1074,1064,1,0,0,0.5,26585,17451,650,10114,1783,0,0,17,1000,5144,550,973,16761,375,77,9,746,337,08,00,00,00,-149.01818,63.873445
AK,AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,PR WALES-OUTER KE,9075307112,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,112,111,1,0,0,0,17638,13694,154,0,955,0,1,13,1008,1612,180,509,1950,1,49,6,482,500,08,00,00,00,-132.951791,55.929205
AK,AK0032,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,KENAI PENINSULA,9072353180,NO,CI,SO,Y,CI1,N,1/1/15,12/31/15,5252,5205,1,0,0,8.73,40823,12684,1384,10114,3552,0,8,158,2704,135957,18772,10012,147088,47932,332,23,29065,20341,08,00,00,00,-151.531835,59.643586
AK,AK0033,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,KENAI PENINSULA,9077823121,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,201,199,1,0,0,0,6384,0,180,0,1610,0,0,4,1204,1970,300,174,2049,286,33,1,162,402,08,00,00,00,-149.64132,60.918742
AK,AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,JUNEAU,9075860443,NO,CO,MO,Y,CO1,N,7/1/15,6/30/16,32739,32444,1,2,0,20.56,111245,10512,5468,11396,5662,0,6,382,7445,221660,59061,23980,228491,90036,601,71,55131,71383,08,00,00,00,-134.404544,58.298585
AK,AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,KENAI PENINSULA,9072525886,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,532,527,1,0,0,0.4,13357,0,182,0,394,0,0,31,750,5760,576,157,5305,0,8,7,425,1536,08,00,00,00,-151.266222,60.308254
AK,AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,KENAI PENINSULA,9072834378,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,7098,7034,1,0,0,8.1,76909,17451,1501,10114,4097,0,0,127,2954,93445,1210,12387,98662,27934,409,40,16359,73850,08,00,00,00,-151.246778,60.559232
AK,AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,KETCHIKAN GATEWAY,9072253331,NO,CO,SO,Y,CO1,N,1/1/15,12/31/15,13758,13634,1,0,0,11.08,58079,14344,5561,8733,6683,0,5,182,2906,90420,12500,7902,168102,84218,680,26,5864,4308,08,00,00,00,-131.651304,55.349012
AK,AK0040,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,KODIAK ISLAND,9074868686,NO,CI,SO,Y,CI2,N,7/1/15,6/30/16,13181,13062,1,0,0,7,70032,22741,3215,17973,2952,0,1,141,3432,181188,4368,9825,80355,34956,345,41,16563,13364,08,00,00,00,-152.397484,57.792622
AK,AK0041,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,NORTHWEST ARCTIC,9074422410,NO,MJ,MO,Y,CI2,N,7/1/15,6/30/16,4142,4105,1,1,0,1.25,20276,0,273,0,2438,0,0,82,1800,23000,900,575,4881,491,16,18,1800,3100,08,00,00,00,-162.587344,66.899306
AK,AK0044,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,YUKON-KOYUKUK,9075243843,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,302,299,1,0,0,0.75,11083,13694,13,8657,930,0,0,20,1196,4136,598,332,4182,589,35,11,906,1825,08,00,00,00,-155.588852,62.949704
AK,AK0046,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,PR WALES-OUTER KE,9078866000,NO,NL,SO,Y,CI1,N,7/1/15,6/30/16,1467,1454,1,0,0,1.75,13249,9773,146,10496,170,0,0,0,1000,1220,650,507,740,61,6,9,1443,0,08,00,00,00,-131.5752,55.128457
AK,AK0047,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,BRISTOL BAY,9072464465,NO,CO,MO,Y,CI2,N,7/1/15,6/30/16,874,866,1,1,0,3,14437,0,303,0,3484,0,0,16,3408,11173,283,457,9124,1822,42,11,3159,2871,08,00,00,00,-157.006441,58.734779
AK,AK0048,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST SECOND STREET,NENANA,99760,YUKON-KOYUKUK,9078325812,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,381,378,1,0,0,1,8993,144,908,0,1885,0,1,10,1664,9932,572,569,13722,1251,106,8,3484,1300,08,00,00,00,-149.095578,64.562392
AK,AK0051,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,KENAI PENINSULA,9075673333,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,860,852,1,0,0,0.38,12291,13694,708,8657,2335,0,1,3,1456,4881,168,278,5256,936,13,6,967,534,08,00,00,00,-151.674982,60.04179
AK,AK0052,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,NOME,9074436628,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,3777,3743,1,0,0,3,21088,13694,137,0,1474,0,0,37,2000,25000,1948,2295,17989,12118,115,6,8398,3000,08,00,00,07,-165.403861,64.497236
AK,AK0053,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,496 NORTHWAY ROAD,NORTHWAY,99764,SE FAIRBANK,9077782310,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,66,65,1,0,0,0.27,-1,-1,193,-1,397,-1,-1,18,1297,413,43,69,-1,162,5,1,150,-1,08,00,00,00,-141.884183,62.960966
AK,AK0055,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,MATANUSKA-SUSITNA,9077611371,NO,CO,SO,Y,CO1,N,1/1/15,12/31/15,30067,29796,1,0,0,7.25,67637,13775,3338,8657,4284,0,0,42,2196,104021,19121,10174,148082,75064,381,27,16008,13605,08,00,00,00,-149.113009,61.599781
AK,AK0056,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,SKAGWAY-ANGOON,9077352500,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,140,139,1,0,0,0.7,10084,13694,300,0,3572,0,0,38,728,4766,63,361,3893,919,151,3,2700,3927,08,00,00,00,-136.227078,57.960305
AK,AK0057,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,WRANGELL-PETERSBU,9077723349,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,3179,3150,1,0,0,3.8,24976,17451,1286,10114,10047,0,1,110,2912,80565,4200,5450,120845,30500,349,26,7200,9000,08,00,00,00,-132.95473,56.81128
AK,AK0058,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,KODIAK ISLAND,9074542288,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,177,175,1,0,0,0.38,10487,111,238,53,1398,24,0,20,780,2795,258,179,2934,336,172,5,2221,1000,08,00,00,00,-152.883859,57.866332
AK,AK0061,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,ALEUTIANS WEST,9075463334,NO,MJ,SO,Y,CI1,N,7/1/15,6/30/16,397,393,1,0,0,1,13710,6,52,0,820,0,2,41,960,3240,275,329,2689,0,44,14,1536,1700,08,00,00,00,-170.283949,57.12614
AK,AK0064,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,KENAI PENINSULA,9072347662,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,206,204,1,0,0,0.42,9590,0,605,0,2397,0,0,17,887,3966,192,448,4931,1079,49,9,628,552,08,00,00,00,-151.714654,59.438738
AK,AK0065,AK0065-002,SEWARD COMMUNITY LIBRARY AND MUSEUM,239 6TH AVENUE,SEWARD,99664,KENAI PENINSULA,9072244082,NO,CI,SO,Y,CI1,N,1/1/15,12/31/15,2663,2639,1,0,0,4.5,18111,13694,1315,8657,3466,0,1,68,2604,78644,1248,7542,51476,14704,230,14,12676,15452,08,00,00,00,-149.437275,60.102509
AK,AK0067,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,SITKA,9077478708,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,8920,8840,1,0,0,7.8,56357,17451,3924,10114,4321,0,2,150,3102,126417,4982,12559,104255,44585,251,11,32463,52000,08,00,06,00,-135.334131,57.049692
AK,AK0068,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,SKAGWAY-ANGOON,9079832665,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,1004,995,1,0,0,1.8,7684,13694,157,0,2895,0,0,52,2660,23424,1122,1673,15536,64,80,5,6312,0,08,00,00,00,-135.313851,59.457578
AK,AK0069,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,KENAI PENINSULA,9072624227,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,4376,4337,1,0,0,6.54,41496,17451,157,10114,3056,0,1,101,2704,106405,3674,9644,133635,60355,523,14,17137,20311,08,00,00,00,-151.072406,60.492329
AK,AK0070,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,MATANUSKA-SUSITNA,9078617640,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,3930,3895,1,0,0,1.75,15358,13696,890,8657,1799,0,0,35,2132,20682,729,1070,15580,5499,258,8,3518,2330,08,00,06,00,-148.877393,61.71099
AK,AK0072,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,MATANUSKA-SUSITNA,9078617645,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,14271,14142,1,0,0,2.58,16685,17453,1644,10331,3176,0,0,44,2184,50605,2710,5715,83178,17719,149,13,5678,7108,08,00,00,00,-150.082461,62.298386
AK,AK0073,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,YUKON-KOYUKUK,9073667356,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,224,222,1,0,0,0.25,9460,107,250,0,620,0,0,37,420,1551,289,224,1826,270,49,3,1000,1200,08,00,00,00,-152.080839,65.170496
AK,AK0074,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,SKAGWAY-ANGOON,9077362248,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,140,139,1,0,0,0.35,6875,0,0,8657,1416,0,0,2,720,1832,110,204,3193,1056,66,8,300,438,08,00,00,00,-135.210892,57.777428
AK,AK0075,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,SE FAIRBANK,9078835623,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,1239,1228,1,0,0,0,7032,13694,708,0,1163,0,0,0,1550,4720,376,310,3028,1017,3,7,1532,3000,08,00,00,00,-142.982127,63.335579
AK,AK0077,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,VALDEZ-CORDOVA,9078354632,NO,MJ,SO,Y,CI1,N,1/1/15,12/31/15,3939,3903,1,0,0,3.78,49647,13694,6349,8657,3966,0,239,101,2860,33114,21000,3402,28747,8205,68,11,4183,5466,08,00,00,00,-146.354509,61.129889
AK,AK0078,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,MATANUSKA-SUSITNA,9073765913,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,34729,34416,1,0,0,9.5,53772,17453,2298,10331,3533,0,0,66,2016,77797,3237,11125,161975,84584,223,7,13265,3156,08,00,00,00,-149.441433,61.58298
AK,AK0080,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,MATANUSKA-SUSITNA,9078617655,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,6886,6824,1,0,0,2.53,23415,17451,1684,10114,2932,0,0,55,2392,34883,1247,2068,29993,7631,89,11,4964,7989,08,00,00,00,-150.043355,61.738182
AK,AK0081,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,WRANGELL,9078743535,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,2458,2436,1,0,0,2.27,36338,17451,503,10114,2330,0,1,67,1910,29042,3893,1580,37124,8499,60,9,4976,19708,08,00,00,00,-132.386964,56.473191
AK,AK0082,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,BETHEL,9077654631,NO,NL,SO,Y,CI1,N,7/1/15,6/30/16,389,385,1,0,0,0.5,-1,-1,90,-1,580,-1,-1,38,1297,6190,460,328,-1,956,30,6,883,-1,08,00,00,00,-161.19229,60.885689
AK,AK0085,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,VALDEZ-CORDOVA,9078223015,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,302,299,1,0,0,0,8410,0,684,0,2934,0,0,5,768,2893,780,508,3070,745,62,4,376,500,08,00,00,00,-144.434771,61.577439
AK,AK0087,AK0087-002,KOYUK PUBLIC LIBRARY,3RD AND BIRCH STREET,KOYUK,99753,NOME,9079633971,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,333,330,1,0,0,0.26,-1,-1,50,-1,86,-1,-1,13,1297,2060,17,348,-1,818,25,3,756,-1,08,00,00,00,-161.166658,64.930677
AK,AK0091,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,99679,BETHEL,9076955636,NO,NL,SO,Y,CI1,N,7/1/15,6/30/16,372,369,1,0,0,0.27,-1,-1,136,-1,590,-1,-1,25,1297,4075,441,314,-1,914,28,7,845,-1,08,00,00,00,-160.173565,60.735224
AK,AK0094,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,NORTH SLOPE,9078524050,NO,MJ,MO,Y,CO1,N,7/1/15,6/30/16,7202,7137,1,7,0,11.65,53049,13694,1229,8440,9081,0,10,150,6417,75856,1845,3029,42014,1302,116,36,18201,9622,08,00,00,00,-156.745752,71.300053
AK,AK0095,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,BETHEL,9078253684,NO,NL,SO,Y,CI1,N,7/1/15,6/30/16,671,665,1,0,0,0.22,-1,-1,522,-1,587,-1,-1,13,1297,14444,498,647,-1,1649,51,3,1524,-1,08,00,00,00,-161.420534,60.900132
AK,AK0097,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,SKAGWAY-ANGOON,9079453611,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,783,776,1,0,0,1.51,-1,-1,86,-1,1031,-1,-1,8,1297,14832,625,992,-1,1924,69,14,1778,-1,08,00,00,00,-135.441601,58.108151
AK,AK0099,AK0099-002,MOOSE PASS PUBLIC LIBRARY,38100 DEPOT ROAD,MOOSE PASS,99631,KENAI PENINSULA,9072883111,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,231,229,1,0,0,0,8882,0,67,8657,1218,0,0,0,500,850,250,235,613,323,96,3,75,200,08,00,00,00,-149.368807,60.487489
AK,AK0100,AK0100-002,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9127 MAIN STREET,NIKOLAI,99691,YUKON-KOYUKUK,9072932427,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,94,93,1,0,0,0.25,5170,48,190,0,120,0,0,14,480,1906,200,35,2155,0,100,5,550,360,08,00,00,00,-154.379787,63.01305
AK,AK0101,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,ALEUTIANS EAST,9073832393,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,860,852,1,0,0,0.4,-1,-1,0,-1,759,-1,-1,45,1297,0,1136,235,-1,2113,80,28,1953,-1,08,00,00,00,-160.480725,55.353509
AK,AK0102,AK0102-002,EGEGIK VILLAGE LIBRARY,289 AIRPORT ROAD,EGEGIK,99579,LAKE AND PENINSULA,9072332211,NO,NL,SO,Y,CI1,N,7/1/15,6/30/16,85,84,1,0,0,1,3353,29,39,0,1419,0,0,0,1008,350,40,30,398,35,0,2,200,600,08,00,00,00,-157.36269,58.202176
AK,AK0103,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,MATANUSKA-SUSITNA,9078617650,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,2133,2114,1,0,0,1.08,13660,17453,1428,10331,2954,0,0,36,1300,6129,582,703,10229,2513,100,9,2306,1828,08,00,00,00,-150.239091,62.307225
AK,AK0104,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 MAIN STREET,HOLY CROSS,99602,YUKON-KOYUKUK,9074767131,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,155,154,1,0,0,0.25,6140,0,0,0,462,20,0,35,480,1020,240,182,1563,812,126,6,2200,0,08,00,00,00,-158.006185,62.453733
AK,AK0113,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET,OUZINKIE,99644,KODIAK ISLAND,9076802323,NO,NL,SO,Y,CI1,N,7/1/15,6/30/16,159,158,1,0,0,0.87,2152,0,0,0,600,0,0,15,1820,3100,270,107,1838,678,28,8,2980,600,08,00,00,00,-152.498225,57.923854
AK,AK0114,AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,NO. 1 ELEMENTARY SCHOOL ROAD,ST. GEORGE,99591,ALEUTIANS WEST,9078592228,NO,MJ,SO,Y,CI1,N,7/1/15,6/30/16,72,71,1,0,0,0.25,5500,210,0,0,168,0,0,19,656,789,26,38,225,0,52,18,435,86,08,00,00,00,-169.583337,56.573269
