state_fips,county_fips,region,state_name,county_name,area_land,area_water,internal_point_lat,internal_point_lon,pop_est_2018,pop_est_2019,births_2019,deaths_2019,international_migr_2019,domestic_migr_2019,residual_2019
01,117,3,Alabama,Shelby County,2034134905,62515663,+33.2630428,-086.6780894,215583,217702,2237,1626,137,1381,-10
01,119,3,Alabama,Sumter County,2340898915,24634883,+32.5974811,-088.2000571,12634,12427,136,163,27,-207,0
01,121,3,Alabama,Talladega County,1908293036,60927931,+33.3693135,-086.1759302,80137,79978,844,1044,32,14,-5
01,123,3,Alabama,Tallapoosa County,1855782851,128806123,+32.8633076,-085.7996176,40535,40367,385,534,2,-18,-3
01,125,3,Alabama,Tuscaloosa County,3421010003,78714550,+33.2902197,-087.5227834,208319,209355,2431,1872,221,261,-5
01,127,3,Alabama,Walker County,2048686078,36754696,+33.7915581,-087.3010936,63669,63521,750,969,-1,75,-3
01,129,3,Alabama,Washington County,2797720322,21652733,+31.4052172,-088.1975644,16402,16326,165,191,14,-65,1
01,131,3,Alabama,Wilcox County,2301075085,49057525,+31.9900824,-087.3049349,10599,10373,133,162,0,-197,0
01,133,3,Alabama,Winston County,1587614057,48917203,+34.1545665,-087.3653458,23693,23629,243,325,2,17,-1
02,013,4,Alaska,Aleutians East Borough,18091501984,20800021676,+55.2450437,-161.9974772,3395,3337,10,9,43,-103,1
02,016,4,Alaska,Aleutians West Census Area,11381568820,25179951971,+51.9489640,+179.6211882,5640,5634,38,7,53,-91,1
02,020,4,Alaska,Anchorage Municipality,4420591351,614471690,+61.1742503,-149.2843294,290521,288000,3923,1847,364,-4972,11
02,050,4,Alaska,Bethel Census Area,105232821617,12764641092,+60.9291413,-160.1526246,18219,18386,403,150,2,-88,0
02,060,4,Alaska,Bristol Bay Borough,1248324004,949767442,+58.7416473,-156.9669094,880,836,8,7,1,-46,0
02,068,4,Alaska,Denali Borough,32729577049,66105677,+63.6820386,-150.0270164,2032,2097,14,9,8,51,1
02,070,4,Alaska,Dillingham Census Area,47478730849,5949974282,+59.5433255,-158.2671226,4991,4916,87,42,1,-121,0
02,090,4,Alaska,Fairbanks North Star Borough,18983544936,272866589,+64.6760436,-146.5481586,98565,96849,1533,506,16,-2763,4
02,100,4,Alaska,Haines Borough,6072297430,1038275846,+59.0984037,-135.5757906,2488,2530,20,7,0,28,1
02,105,4,Alaska,Hoonah-Angoon Census Area,16981186974,7801738685,+58.2534617,-136.3207314,2155,2148,20,18,4,-13,0
02,110,4,Alaska,Juneau City and Borough,7003264582,1426373039,+58.3729099,-134.1784454,32037,31974,340,177,20,-247,1
02,122,4,Alaska,Kenai Peninsula Borough,41499872077,22525650886,+60.3607660,-152.0526403,58561,58708,665,541,20,6,-3
02,130,4,Alaska,Ketchikan Gateway Borough,12579378509,4651615675,+55.4499378,-131.1066847,13856,13901,153,88,24,-42,-2
02,150,4,Alaska,Kodiak Island Borough,17133712542,14166830862,+57.7044003,-153.9183721,13250,12998,168,53,33,-400,0
02,158,4,Alaska,Kusilvak Census Area,44222017663,6693558019,+62.2835878,-163.1901714,8323,8314,233,103,7,-146,0
02,164,4,Alaska,Lake and Peninsula Borough,61912947833,25973300388,+58.1085067,-156.4134134,1596,1592,31,10,3,-28,0
02,170,4,Alaska,Matanuska-Susitna Borough,64009263421,1456029488,+62.2790939,-149.6190939,107115,108317,1368,646,16,466,-2
02,180,4,Alaska,Nome Census Area,59492073779,13779318627,+64.7836858,-164.1889119,10053,10004,197,101,2,-147,0
02,185,4,Alaska,North Slope Borough,230054247231,15548935657,+69.4493427,-153.4728302,9850,9832,151,57,1,-114,1
02,188,4,Alaska,Northwest Arctic Borough,92369226065,12835515419,+67.0050655,-160.0210864,7694,7621,167,90,7,-156,-1
02,195,4,Alaska,Petersburg Borough,7512659027,2385853100,+57.1124581,-133.0085979,3244,3266,30,29,2,19,0
02,198,4,Alaska,Prince of Wales-Hyder Census Area,13633096724,14622411293,+55.6827733,-133.1623885,6360,6203,59,53,2,-166,1
02,220,4,Alaska,Sitka City and Borough,7433305220,5037858058,+57.1932044,-135.3673965,8554,8493,77,58,16,-96,0
02,230,4,Alaska,Skagway Municipality,1123881121,28784118,+59.5603794,-135.3382787,1169,1183,8,14,0,20,0
02,240,4,Alaska,Southeast Fairbanks Census Area,64290716362,751936140,+63.8649972,-143.2186282,6937,6893,109,35,12,-129,-1
02,261,4,Alaska,Valdez-Cordova Census Area,88634209842,15756652761,+61.3498431,-145.0231093,9161,9202,118,58,-6,-13,0
02,275,4,Alaska,Wrangell City and Borough,6619997018,2384375227,+56.3174160,-132.3439780,2538,2502,21,34,5,-30,2
02,282,4,Alaska,Yakutat City and Borough,19744199352,3986129000,+60.0174528,-140.4169420,596,579,4,1,1,-22,1
02,290,4,Alaska,Yukon-Koyukuk Census Area,377038836685,5945279912,+65.3757271,-151.5778496,5359,5230,76,69,2,-139,1
04,001,4,Arizona,Apache County,29002035366,54153162,+35.3850840,-109.4901722,71731,71887,934,702,37,-112,-1
04,003,4,Arizona,Cochise County,16083174724,17667961,+31.8401287,-109.7751627,126411,125922,1348,1312,66,-595,4
04,005,4,Arizona,Coconino County,48217246133,116631412,+35.8296919,-111.7737277,142523,143476,1513,901,25,313,3
04,007,4,Arizona,Gila County,12323152721,97113523,+33.7896177,-110.8118696,53801,54018,514,811,9,504,1
04,009,4,Arizona,Graham County,11970605964,47476264,+32.9318277,-109.8783103,37995,38837,526,323,30,607,2
04,011,4,Arizona,Greenlee County,4771123868,13750620,+33.2388723,-109.2423231,9448,9498,144,49,8,-52,-1
04,012,4,Arizona,La Paz County,11645512187,36551630,+33.7276104,-114.0388060,21039,21108,191,310,68,123,-3
04,013,4,Arizona,Maricopa County,23829622328,63347750,+33.3451756,-112.4989297,4402403,4485414,52722,33023,5520,57477,315
04,015,4,Arizona,Mohave County,34529358909,333447540,+35.7177050,-113.7496891,209292,212181,1752,3375,-246,4724,34
04,017,4,Arizona,Navajo County,25770517979,24125805,+35.3907852,-110.3210248,110242,110924,1447,1117,44,311,-3
04,019,4,Arizona,Pima County,23798597214,5112470,+32.1280427,-111.7836574,1036554,1047279,10891,10199,1204,8801,28
04,021,4,Arizona,Pinal County,13897997152,22344370,+32.9185209,-111.3663396,446806,462789,4568,3330,487,14180,78
04,023,4,Arizona,Santa Cruz County,3201833002,3088479,+31.5257330,-110.8452278,46395,46498,619,316,56,-257,1
04,025,4,Arizona,Yavapai County,21038727465,11501576,+34.6310710,-112.5772247,231772,235099,1782,3042,-72,4636,23
04,027,4,Arizona,Yuma County,14280777606,13248642,+32.7739424,-113.9109050,211612,213787,2991,1713,546,357,-6
05,001,3,Arkansas,Arkansas County,2561013146,116378934,+34.2895697,-091.3765466,17726,17486,206,216,-3,-229,2
05,003,3,Arkansas,Ashley County,2396668938,39291076,+33.1908354,-091.7722672,20012,19657,213,251,-4,-313,0
05,005,3,Arkansas,Baxter County,1435504137,84171720,+36.2802684,-092.3299488,41624,41932,349,695,-1,656,-1
05,007,3,Arkansas,Benton County,2196053836,94223432,+36.3378189,-094.2562984,272266,279141,3744,1820,107,4823,21
05,009,3,Arkansas,Boone County,1528080514,31092205,+36.3042991,-093.0792364,37385,37432,407,460,-11,114,-3
05,011,3,Arkansas,Bradley County,1681512201,9535200,+33.4665491,-092.1691559,10838,10763,116,130,-5,-56,0
05,013,3,Arkansas,Calhoun County,1627975429,9926146,+33.5604604,-092.5138790,5227,5189,39,48,-1,-28,0
05,015,3,Arkansas,Carroll County,1631823636,22397554,+36.3373704,-093.5409718,28097,28380,301,305,25,265,-3
05,017,3,Arkansas,Chicot County,1669835058,119303631,+33.2671393,-091.2971578,10442,10118,111,150,-2,-283,0
05,019,3,Arkansas,Clark County,2243130283,43387661,+34.0533162,-093.1762085,22313,22320,233,241,2,14,-1
05,021,3,Arkansas,Clay County,1656214474,5097734,+36.3673021,-090.4187041,14763,14551,155,197,0,-170,0
05,023,3,Arkansas,Cleburne County,1434077953,98890719,+35.5663146,-092.0599504,24994,24919,227,385,-6,90,-1
05,025,3,Arkansas,Cleveland County,1548239710,2500196,+33.8932006,-092.1887141,7995,7956,75,88,-1,-25,0
05,027,3,Arkansas,Columbia County,1983887989,1990757,+33.2230377,-093.2328433,23586,23457,262,279,9,-120,-1
05,029,3,Arkansas,Conway County,1430388148,37328675,+35.2657020,-092.6892479,20825,20846,227,213,-5,14,-2
05,031,3,Arkansas,Craighead County,1831907088,14029461,+35.8277285,-090.6314213,108816,110332,1456,1030,47,1044,-1
05,033,3,Arkansas,Crawford County,1537849721,28387848,+35.5830114,-094.2362187,63379,63257,758,658,5,-227,0
05,035,3,Arkansas,Crittenden County,1580882918,67433862,+35.2118788,-090.3153317,48363,47955,722,534,-7,-591,2
05,037,3,Arkansas,Cross County,1596421810,15344835,+35.2856921,-090.7639835,16630,16419,194,207,2,-202,2
05,039,3,Arkansas,Dallas County,1728522507,1864048,+33.9678233,-092.6539989,7152,7009,73,79,-2,-133,-2
05,041,3,Arkansas,Desha County,1989461618,133085432,+33.8287519,-091.2441034,11507,11361,135,172,-1,-108,0
05,043,3,Arkansas,Drew County,2145488990,18914023,+33.5872418,-091.7227781,18328,18219,228,198,-5,-134,0
05,045,3,Arkansas,Faulkner County,1678199700,41766665,+35.1465478,-092.3369277,125138,126007,1516,920,41,232,0
05,047,3,Arkansas,Franklin County,1576909749,27950884,+35.5085579,-093.8876647,17764,17715,178,190,-1,-34,-2
05,049,3,Arkansas,Fulton County,1601099815,5526928,+36.3836192,-091.8196636,12308,12477,134,201,5,232,-1
05,051,3,Arkansas,Garland County,1755025617,147393195,+34.5788523,-093.1469323,98966,99386,1071,1347,-27,726,-3
05,053,3,Arkansas,Grant County,1636384327,2896901,+34.2855683,-092.4229794,18180,18265,172,188,-6,107,0
05,055,3,Arkansas,Greene County,1496205800,4789610,+36.1206072,-090.5663459,45339,45325,587,505,-7,-87,-2
05,057,3,Arkansas,Hempstead County,1884271055,35369289,+33.7359530,-093.6643553,21685,21532,291,233,-13,-199,1
05,059,3,Arkansas,Hot Spring County,1593594553,18034772,+34.3151767,-092.9441474,33672,33771,361,379,-1,119,-1
05,061,3,Arkansas,Howard County,1524380362,17475613,+34.0830639,-093.9909315,13302,13202,172,171,-2,-99,0
05,063,3,Arkansas,Independence County,1978814985,19593589,+35.7374992,-091.5599423,37768,37825,513,430,-7,-17,-2
05,065,3,Arkansas,Izard County,1503735021,8913817,+36.0948792,-091.9136252,13582,13629,119,188,2,113,1
05,067,3,Arkansas,Jackson County,1641629489,19623387,+35.5964674,-091.2232051,16753,16719,187,206,-2,-12,-1
05,069,3,Arkansas,Jefferson County,2253424970,113261151,+34.2772390,-091.9296730,68067,66824,788,827,6,-1214,4
05,071,3,Arkansas,Johnson County,1708980734,58598404,+35.5733586,-093.4663223,26659,26578,326,252,-4,-150,-1
05,073,3,Arkansas,Lafayette County,1368278171,43469432,+33.2406294,-093.6115140,6679,6624,61,94,-1,-20,-1
05,075,3,Arkansas,Lawrence County,1521913730,12286149,+36.0410983,-091.1011529,16432,16406,194,249,-3,32,0
05,077,3,Arkansas,Lee County,1560781755,43720909,+34.7795048,-090.7797172,8976,8857,81,120,0,-80,0
05,079,3,Arkansas,Lincoln County,1454383536,27514923,+33.9576750,-091.7276258,13184,13024,100,146,1,-113,-2
05,081,3,Arkansas,Little River County,1378511385,84225310,+33.6994970,-094.2297741,12297,12259,136,176,-3,6,-1
05,083,3,Arkansas,Logan County,1834415737,61409940,+35.2186538,-093.7209102,21673,21466,235,296,10,-156,0
05,085,3,Arkansas,Lonoke County,1997848802,82750645,+34.7551137,-091.8941320,73391,73309,858,690,-12,-242,4
05,087,3,Arkansas,Madison County,2160720581,7318310,+36.0125452,-093.7240531,16362,16576,207,141,-5,152,1
05,089,3,Arkansas,Marion County,1546110609,112284588,+36.2666636,-092.6785765,16665,16694,141,278,-4,172,-2
05,091,3,Arkansas,Miller County,1620637610,30875065,+33.3055054,-093.9015018,43362,43257,520,471,-28,-123,-3
05,093,3,Arkansas,Mississippi County,2332481583,49826387,+35.7669437,-090.0522072,41236,40651,580,498,-19,-652,4
05,095,3,Arkansas,Monroe County,1572467982,36693587,+34.6795117,-091.2033099,6880,6701,67,114,0,-133,1
05,097,3,Arkansas,Montgomery County,2019984639,52914079,+34.5456557,-093.6641530,8910,8986,88,148,4,133,-1
05,099,3,Arkansas,Nevada County,1600206102,7241222,+33.6666991,-093.3050716,8308,8252,102,104,-3,-51,0
05,101,3,Arkansas,Newton County,2126132564,5930171,+35.9107423,-093.2158984,7800,7753,84,108,0,-22,-1
05,103,3,Arkansas,Ouachita County,1897898727,18050436,+33.5911684,-092.8784131,23620,23382,249,338,0,-147,-2
05,105,3,Arkansas,Perry County,1428530422,23226442,+34.9463629,-092.9268773,10380,10455,117,138,1,96,-1
05,107,3,Arkansas,Phillips County,1801669169,82139041,+34.4236874,-090.8555931,18054,17782,267,255,-4,-281,1
05,109,3,Arkansas,Pike County,1555611456,34977709,+34.1581907,-093.6586589,10666,10718,102,130,2,80,-2
05,111,3,Arkansas,Poinsett County,1964149129,13520122,+35.5688702,-090.6811037,23903,23528,310,334,-4,-348,1
05,113,3,Arkansas,Polk County,2220863254,12372575,+34.4909149,-094.2308841,20019,19964,215,286,-3,21,-2
05,115,3,Arkansas,Pope County,2104407172,47240356,+35.4565570,-093.0268181,63594,64072,765,593,11,296,-1
05,117,3,Arkansas,Prairie County,1677973068,71807770,+34.8311162,-091.5536205,8082,8062,80,116,-2,19,-1
05,119,3,Arkansas,Pulaski County,1964339922,126230012,+34.7703106,-092.3129960,391918,391911,5067,3795,153,-1415,-17
05,121,3,Arkansas,Randolph County,1689251373,9889900,+36.3412985,-091.0284409,17970,17958,235,255,-6,13,1
05,123,3,Arkansas,St. Francis County,1644019105,20027489,+35.0228383,-090.7515053,25509,24994,305,315,2,-508,1
05,125,3,Arkansas,Saline County,1874047317,17969885,+34.6485246,-092.6744630,121074,122437,1280,1100,-9,1197,-5
05,127,3,Arkansas,Scott County,2311217233,14870494,+34.8588693,-094.0636413,10339,10281,112,117,-5,-48,0
05,129,3,Arkansas,Searcy County,1724955843,6256683,+35.8963868,-092.6958884,7930,7881,73,111,2,-11,-2
05,131,3,Arkansas,Sebastian County,1375720610,37325387,+35.1969808,-094.2749889,127570,127827,1780,1276,-51,-194,-2
05,133,3,Arkansas,Sevier County,1464132101,41833257,+33.9948773,-094.2432792,17061,17007,246,149,-22,-130,1
05,135,3,Arkansas,Sharp County,1565401499,5201390,+36.1733989,-091.4710689,17290,17442,193,240,2,199,-2
05,137,3,Arkansas,Stone County,1570754768,7842161,+35.8570011,-092.1404819,12454,12506,111,166,-8,115,0
05,139,3,Arkansas,Union County,2691655893,41400825,+33.1682186,-092.5981447,39139,38682,480,550,-1,-386,0
05,141,3,Arkansas,Van Buren County,1838244470,37694051,+35.5829532,-092.5159757,16635,16545,141,250,11,9,-1
05,143,3,Arkansas,Washington County,2439709563,26898329,+35.9780010,-094.2172695,236611,239187,3203,1599,164,802,6
05,145,3,Arkansas,White County,2680828175,18293048,+35.2551175,-091.7530339,78381,78753,881,837,-27,360,-5
05,147,3,Arkansas,Woodruff County,1519769776,18703960,+35.1927768,-091.2445353,6466,6320,70,102,0,-112,-2
05,149,3,Arkansas,Yell County,2408958968,48394529,+34.9977133,-093.4083032,21462,21341,258,244,-2,-133,0
06,001,4,California,Alameda County,1909614756,216907015,+37.6471385,-121.9124880,1666756,1671329,18628,10944,8540,-11626,-25
06,003,4,California,Alpine County,1912292608,12557304,+38.6217831,-119.7983522,1089,1129,10,5,1,35,-1
06,005,4,California,Amador County,1539933596,29470567,+38.4435501,-120.6538563,39405,39752,307,427,17,451,-1
06,007,4,California,Butte County,4238488156,105261063,+39.6659588,-121.6019188,230339,219186,2422,2527,103,-11249,98
06,009,4,California,Calaveras County,2641784992,43841871,+38.1838996,-120.5614415,45698,45905,397,528,15,323,0
06,011,4,California,Colusa County,2980332742,14608887,+39.1777385,-122.2375629,21418,21547,282,129,-33,10,-1
06,013,4,California,Contra Costa County,1857229826,225285866,+37.9194790,-121.9515431,1150519,1153526,12070,8478,2916,-3497,-4
06,015,4,California,Del Norte County,2606117982,578742642,+41.7639580,-124.0036140,27740,27812,261,255,15,53,-2
06,017,4,California,El Dorado County,4423299441,203342316,+38.7856116,-120.5342245,190746,192843,1624,1699,75,2110,-13
06,019,4,California,Fresno County,15432139300,136609898,+36.7610058,-119.6550193,991950,999101,14506,7467,479,-348,-19
06,021,4,California,Glenn County,3403160291,33693350,+39.6025462,-122.4016998,27967,28393,371,251,-31,337,0
06,023,4,California,Humboldt County,9241426488,1253864712,+40.7066554,-123.9261757,136244,135558,1352,1390,-17,-625,-6
06,025,4,California,Imperial County,10814594615,790217372,+33.0408143,-115.3554001,181523,181215,2728,1079,33,-2000,10
06,027,4,California,Inyo County,26410680788,76915743,+36.5619770,-117.4039269,17946,18039,191,172,18,57,-1
06,029,4,California,Kern County,21062540828,78680980,+35.3466288,-118.7295064,893758,900202,13144,6478,81,-291,-12
06,031,4,California,Kings County,3600883803,3162664,+36.0724780,-119.8155301,151382,152940,2321,887,-74,197,1
06,033,4,California,Lake County,3254349190,188851723,+39.0948019,-122.7467569,64317,64386,731,848,-26,215,-3
06,035,4,California,Lassen County,11761615584,463426056,+40.7210862,-120.6299518,30618,30573,281,202,7,-133,2
06,037,4,California,Los Angeles County,10511861492,1793485467,+34.1963983,-118.2618616,10073906,10039107,112963,68164,21050,-100808,160
06,039,4,California,Madera County,5534617472,42245931,+37.2098213,-119.7498023,156882,157327,2108,1060,-139,-464,0
06,041,4,California,Marin County,1347950152,797055812,+38.0518169,-122.7459738,259662,258826,2149,1998,432,-1416,-3
06,043,4,California,Mariposa County,3752472150,36225644,+37.5700295,-119.9128613,17405,17203,149,180,9,-179,-1
06,045,4,California,Mendocino County,9081426663,962946206,+39.4323876,-123.4428811,87401,86749,933,860,-60,-660,-5
06,047,4,California,Merced County,5014506620,110178168,+37.1948063,-120.7228019,274151,277680,4086,1787,-144,1381,-7
06,049,4,California,Modoc County,10225096402,661284408,+41.5929185,-120.7183704,8800,8841,71,100,5,65,0
06,051,4,California,Mono County,7896838483,214695677,+37.9158363,-118.8751668,14403,14444,126,30,64,-120,1
06,053,4,California,Monterey County,8499616876,1267800137,+36.2401070,-121.3155723,433950,434061,5797,2742,-90,-2850,-4
06,055,4,California,Napa County,1937986794,104295181,+38.5070999,-122.3259045,138789,137744,1235,1279,-13,-985,-3
06,057,4,California,Nevada County,2480587338,41531993,+39.2975082,-120.7713429,99508,99755,778,986,-3,465,-7
06,059,4,California,Orange County,2053367783,401931862,+33.6756872,-117.7772068,3175973,3175692,36406,21518,6178,-21358,11
06,061,4,California,Placer County,3644306246,246466620,+39.0620323,-120.7227181,392330,398329,3721,3480,79,5687,-8
06,063,4,California,Plumas County,6612400910,156387636,+39.9922953,-120.8243709,18741,18807,157,213,-3,126,-1
06,065,4,California,Riverside County,18671212657,243883196,+33.7298275,-116.0022389,2445789,2470546,29482,18148,303,13170,-50
06,067,4,California,Sacramento County,2499983887,75425434,+38.4500161,-121.3404408,1538746,1552058,19192,12368,3042,3456,-10
06,069,4,California,San Benito County,3596591082,4719300,+36.6116507,-121.0858108,61467,62808,774,324,-38,926,3
06,071,4,California,San Bernardino County,51975576263,96414425,+34.8572198,-116.1811967,2166753,2180085,29341,15223,162,-914,-34
06,073,4,California,San Diego County,10904373558,817404622,+33.0236041,-116.7761174,3333861,3338330,40603,23052,6733,-19731,-84
06,075,4,California,San Francisco County,121477743,479114582,+37.7272391,-123.0322294,880696,881549,8868,6359,4498,-6094,-60
06,077,4,California,San Joaquin County,3606127799,89109687,+37.9349815,-121.2722440,752491,762148,9975,5838,687,4842,-9
06,079,4,California,San Luis Obispo County,8548557892,815573121,+35.3852242,-120.4475445,283354,283111,2488,2465,-7,-245,-14
06,081,4,California,San Mateo County,1161957020,757114175,+37.4146725,-122.3715457,768681,766573,8425,5187,3610,-8953,-3
06,083,4,California,Santa Barbara County,7084063392,2729751706,+34.5370572,-120.0399729,445780,446499,5390,3288,553,-1924,-12
06,085,4,California,Santa Clara County,3343890934,33595384,+37.2206954,-121.6905097,1932337,1927852,21713,11258,13409,-28421,72
06,087,4,California,Santa Cruz County,1152794691,419743117,+37.0124883,-122.0072050,273841,273213,2540,1885,59,-1339,-3
06,089,4,California,Shasta County,9778407493,186302040,+40.7605142,-122.0435556,179709,180080,1977,2297,193,514,-16
06,091,4,California,Sierra County,2468694583,23299110,+39.5769252,-120.5219926,2997,3005,25,37,0,20,0
06,093,4,California,Siskiyou County,16261933244,179149815,+41.5879861,-122.5332868,43550,43539,382,525,2,133,-3
06,095,4,California,Solano County,2128488719,218671901,+38.2672255,-121.9395940,445725,447643,5088,3711,280,277,-16
